501.0,SINGLE FAMILY DWELLING
102.0,SIDEWALK
726.0,POLICE FACILITY
502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
409.0,BEAUTY SUPPLY STORE
735.0,NIGHT CLUB (OPEN EVENINGS ONLY)
404.0,DEPARTMENT STORE
203.0,OTHER BUSINESS
101.0,STREET
108.0,PARKING LOT
503.0,HOTEL
252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)"
103.0,ALLEY
507.0,CONDOMINIUM/TOWNHOUSE
148.0,PUBLIC RESTROOM/OUTSIDE*
707.0,GARAGE/CARPORT
801.0,MTA BUS
510.0,NURSING/CONVALESCENT/RETIREMENT HOME
401.0,MINI-MART
122.0,"VEHICLE, PASSENGER/TRUCK"
406.0,OTHER STORE
514.0,GROUP HOME
900.0,MTA - RED LINE - UNION STATION
210.0,RESTAURANT/FAST FOOD
902.0,MTA - RED LINE - PERSHING SQUARE
403.0,DRUG STORE
725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
516.0,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
123.0,PARKING UNDERGROUND/BUILDING
505.0,MOTEL
701.0,HOSPITAL
104.0,DRIVEWAY
402.0,MARKET
834.0,LA UNION STATION (NOT LINE SPECIFIC)
517.0,MISSIONS/SHELTERS
207.0,BAR/COCKTAIL/NIGHTCLUB
151.0,TOW YARD*
753.0,DETENTION/JAIL FACILITY
710.0,OTHER PREMISE
248.0,CELL PHONE STORE
405.0,CLOTHING STORE
602.0,BANK
931.0,MTA - BLUE LINE - 7TH AND METRO CENTER
116.0,OTHER/OUTSIDE
741.0,STAPLES CENTER *
118.0,CONSTRUCTION SITE
719.0,MEDICAL/DENTAL OFFICES
809.0,METROLINK TRAIN
903.0,MTA - RED LINE - 7TH AND METRO CENTER
202.0,LIQUOR STORE
244.0,TOBACCO SHOP
744.0,HIGH-RISE BUILDING
802.0,MUNICIPAL BUS LINE INCLUDES LADOT/DASH
504.0,OTHER RESIDENCE
124.0,BUS STOP
917.0,MTA - PURPLE LINE - PERSHING SQUARE
201.0,JEWELRY STORE
733.0,BAR/SPORTS BAR (OPEN DAY & NIGHT)
738.0,LIBRARY
706.0,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB
916.0,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK
901.0,MTA - RED LINE - CIVIC CENTER/GRAND PARK
152.0,UNDERPASS/BRIDGE*
727.0,SHOPPING MALL (COMMON AREA)
212.0,TRANSPORTATION FACILITY (AIRPORT)
109.0,PARK/PLAYGROUND
717.0,HEALTH SPA/GYM
508.0,FRAT HOUSE/SORORITY/DORMITORY
121.0,YARD (RESIDENTIAL/BUSINESS)
119.0,"PORCH, RESIDENTIAL"
966.0,MTA - GOLD LINE - UNION STATION
218.0,BEAUTY/BARBER SHOP
810.0,AMTRAK TRAIN
220.0,NAIL SALON
413.0,FURNITURE STORE
835.0,7TH AND METRO CENTER (NOT LINE SPECIFIC)
221.0,PUBLIC STORAGE
722.0,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
713.0,CONVENTION CENTER
222.0,LAUNDROMAT
