624,BATTERY - SIMPLE ASSAULT
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
121,"RAPE, FORCIBLE"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
946,OTHER MISCELLANEOUS CRIME
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
330,BURGLARY FROM VEHICLE
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
648,ARSON
626,INTIMATE PARTNER - SIMPLE ASSAULT
440,THEFT PLAIN - PETTY ($950 & UNDER)
354,THEFT OF IDENTITY
210,ROBBERY
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
310,BURGLARY
510,VEHICLE - STOLEN
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
761,BRANDISH WEAPON
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
662,"BUNCO, GRAND THEFT"
350,"THEFT, PERSON"
860,BATTERY WITH SEXUAL CONTACT
480,BIKE - STOLEN
623,BATTERY POLICE (SIMPLE)
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
900,VIOLATION OF COURT ORDER
888,TRESPASSING
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
901,VIOLATION OF RESTRAINING ORDER
886,DISTURBING THE PEACE
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
647,THROWING OBJECT AT MOVING VEHICLE
940,EXTORTION
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
922,CHILD STEALING
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
220,ATTEMPTED ROBBERY
625,OTHER ASSAULT
755,BOMB SCARE
649,DOCUMENT FORGERY / STOLEN FELONY
815,SEXUAL PENETRATION W/FOREIGN OBJECT
251,SHOTS FIRED AT INHABITED DWELLING
320,"BURGLARY, ATTEMPTED"
890,FAILURE TO YIELD
850,INDECENT EXPOSURE
820,ORAL COPULATION
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
664,"BUNCO, PETTY THEFT"
920,KIDNAPPING - GRAND ATTEMPT
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
437,RESISTING ARREST
753,DISCHARGE FIREARMS/SHOTS FIRED
928,THREATENING PHONE CALLS/LETTERS
910,KIDNAPPING
760,LEWD/LASCIVIOUS ACTS WITH CHILD
762,LEWD CONDUCT
661,UNAUTHORIZED COMPUTER ACCESS
351,PURSE SNATCHING
